iter	Passed	Remaining
688	55649	25119
689	55726	25036
690	55807	24955
691	55907	24883
692	55986	24802
693	56073	24724
694	56145	24639
695	56221	24556
696	56314	24481
697	56391	24398
698	56457	24311
699	56534	24229
700	56603	24143
701	56675	24058
702	56755	23977
703	56828	23893
704	56895	23807
705	56971	23724
706	57055	23645
707	57136	23564
708	57205	23479
709	57268	23391
710	57360	23315
711	57433	23231
712	57509	23149
713	57591	23068
714	57678	22990
715	57754	22908
716	57830	22825
717	57922	22749
718	57988	22663
719	58070	22583
720	58153	22503
721	58241	22425
722	58318	22343
723	58397	22262
724	58472	22179
725	58561	22101
726	58643	22021
727	58725	21941
728	58799	21858
729	58867	21772
730	58956	21695
731	59023	21609
732	59095	21525
733	59173	21444
734	59248	21361
735	59330	21281
736	59397	21196
737	59468	21111
738	59542	21029
739	59650	20958
740	59735	20879
741	59822	20800
742	59933	20730
743	60012	20649
744	60098	20570
745	60171	20487
746	60242	20403
747	60319	20321
748	60401	20241
749	60481	20160
750	60572	20083
751	60634	19996
752	60716	19916
753	60801	19836
754	60881	19756
755	60965	19676
756	61046	19596
757	61125	19515
758	61220	19438
759	61294	19356
760	61372	19274
761	61458	19195
762	61524	19110
763	61597	19027
764	61673	18945
765	61765	18868
766	61852	18789
767	61927	18707
768	62001	18624
769	62087	18545
770	62174	18466
771	62252	18385
772	62326	18302
773	62395	18218
774	62477	18138
775	62561	18058
776	62645	17979
777	62728	17899
778	62804	17817
779	62886	17737
780	62975	17658
781	63049	17576
782	63127	17494
783	63215	17416
784	63301	17337
785	63381	17256
786	63452	17173
787	63524	17090
788	63607	17010
789	63673	16925
790	63750	16844
791	63832	16764
792	63927	16687
793	63996	16603
794	64073	16522
795	64157	16442
796	64233	16360
797	64306	16278
798	64394	16199
799	64474	16118
800	64556	16038
801	64644	15959
802	64716	15876
803	64790	15794
804	64855	15710
805	64937	15630
806	65021	15550
807	65108	15471
808	65193	15391
809	65267	15309
810	65345	15228
811	65412	15144
812	65483	15061
813	65579	14985
814	65656	14903
815	65727	14820
816	65794	14737
817	65875	14656
818	65958	14576
819	66031	14494
820	66098	14411
821	66183	14331
822	66261	14250
823	66350	14171
824	66446	14094
825	66531	14015
826	66613	13934
827	66696	13854
828	66769	13772
829	66846	13691
830	66924	13610
831	66987	13526
832	67052	13442
833	67138	13363
834	67222	13283
835	67309	13204
836	67391	13124
837	67473	13043
838	67545	12961
839	67635	12883
840	67706	12800
841	67785	12719
842	67853	12636
843	67939	12557
844	68001	12473
845	68084	12393
846	68177	12315
847	68270	12237
848	68349	12156
849	68431	12076
850	68524	11997
851	68605	11917
852	68675	11835
853	68758	11755
854	68843	11675
855	68908	11592
856	68981	11510
857	69051	11428
858	69131	11347
859	69198	11264
860	69291	11186
861	69374	11106
862	69459	11026
863	69537	10945
864	69608	10863
865	69678	10781
866	69749	10699
867	69831	10619
868	69935	10542
869	70009	10461
870	70084	10379
871	70173	10300
872	70261	10221
873	70340	10140
874	70427	10061
875	70524	9982
876	70622	9904
877	70690	9822
878	70772	9742
879	70842	9660
880	70908	9577
881	70981	9496
882	71072	9417
883	71146	9335
884	71220	9254
885	71306	9174
886	71379	9093
887	71456	9012
888	71542	8932
889	71621	8852
890	71702	8771
891	71780	8690
892	71865	8611
893	71939	8529
894	72024	8449
895	72105	8369
896	72173	8287
897	72266	8208
898	72358	8129
899	72438	8048
900	72516	7967
901	72585	7886
902	72655	7804
903	72723	7722
904	72792	7641
905	72877	7561
906	72960	7481
907	73036	7400
908	73112	7319
909	73197	7239
910	73266	7157
911	73340	7076
912	73420	6996
913	73504	6916
914	73596	6836
